id,nivelRuido,comuna
42755,62,comuna 15
44452,77,comuna 14
13218,27,comuna 3
49704,75,comuna 11
36886,37,comuna 12
6286,25,comuna 12
12894,79,comuna 16
19658,27,comuna 4
18990,31,comuna 11
18460,48,comuna 6
16115,62,comuna 2
5830,66,comuna 9
19524,70,comuna 16
27230,35,comuna 9
7474,17,comuna 9
41023,65,comuna 1
29996,66,comuna 15
47718,40,comuna 4
31599,51,comuna 14
47475,31,comuna 3
26541,89,comuna 8
41274,81,comuna 8
15507,89,comuna 2
21133,48,comuna 15
33080,49,comuna 1
22560,16,comuna 11
6551,78,comuna 14
9037,58,comuna 15
31723,55,comuna 8
5049,72,comuna 2
27929,27,comuna 12
32725,89,comuna 6
49591,17,comuna 11
16000,33,comuna 9
30763,22,comuna 16
31200,32,comuna 15
9261,76,comuna 6
36441,48,comuna 4
32637,38,comuna 2
845,27,comuna 10
20623,11,comuna 12
40721,72,comuna 10
30956,25,comuna 4
12774,80,comuna 3
18836,84,comuna 9
9695,12,comuna 14
19066,26,comuna 16
49376,83,comuna 5
18049,81,comuna 2
3389,60,comuna 13
43594,67,comuna 5
31948,61,comuna 6
48391,63,comuna 8
30643,43,comuna 16
30651,52,comuna 10
44170,57,comuna 9
42370,40,comuna 10
22311,41,comuna 8
40986,53,comuna 7
48965,45,comuna 11
24590,81,comuna 6
21210,22,comuna 6
43758,38,comuna 15
34249,20,comuna 1
26703,26,comuna 16
2875,78,comuna 8
30526,52,comuna 14
5396,11,comuna 8
14482,65,comuna 1
30304,68,comuna 8
1344,87,comuna 11
2840,60,comuna 4
1819,43,comuna 8
21476,64,comuna 10
4209,14,comuna 3
42814,34,comuna 1
39005,25,comuna 5
2140,57,comuna 6
42175,90,comuna 4
73,54,comuna 3
3962,11,comuna 5
20706,34,comuna 15
27869,52,comuna 7
4725,10,comuna 4
44042,48,comuna 14
23011,88,comuna 16
15385,69,comuna 10
123,50,comuna 15
48052,60,comuna 12
47782,53,comuna 11
24325,24,comuna 8
14966,75,comuna 8
26877,43,comuna 11
49284,64,comuna 14
33162,47,comuna 8
8840,41,comuna 16
30898,78,comuna 9
44014,22,comuna 15
25392,45,comuna 14
6473,12,comuna 4
46003,10,comuna 4
10071,11,comuna 4
41914,34,comuna 9
47158,82,comuna 7
5514,19,comuna 12
17926,31,comuna 7
8296,37,comuna 12
45343,22,comuna 7
48876,79,comuna 2
16130,16,comuna 13
26280,42,comuna 1
29201,21,comuna 7
14502,54,comuna 2
735,80,comuna 15
10512,75,comuna 1
6739,73,comuna 8
188,36,comuna 11
15728,90,comuna 1
48112,22,comuna 15
42765,66,comuna 14
2345,23,comuna 2
5886,10,comuna 13
15044,45,comuna 7
13833,11,comuna 4
43601,42,comuna 1
15675,30,comuna 13
3839,24,comuna 4
24095,30,comuna 13
44925,37,comuna 8
3498,21,comuna 6
22484,61,comuna 1
26477,31,comuna 12
48022,11,comuna 1
39824,46,comuna 2
46207,50,comuna 15
8946,15,comuna 10
8255,16,comuna 8
37614,66,comuna 9
17334,50,comuna 14
6573,12,comuna 12
20257,85,comuna 11
2509,79,comuna 7
43975,15,comuna 7
29998,77,comuna 4
4975,33,comuna 10
25916,44,comuna 12
29330,39,comuna 12
29794,72,comuna 6
21237,19,comuna 3
19756,13,comuna 14
34530,15,comuna 12
79,45,comuna 15
1118,14,comuna 12
34524,18,comuna 13
38727,61,comuna 15
13088,35,comuna 6
31679,89,comuna 4
10252,46,comuna 7
18693,16,comuna 12
45630,39,comuna 8
28231,27,comuna 12
5963,55,comuna 2
34663,43,comuna 10
49387,19,comuna 1
24913,53,comuna 15
37730,62,comuna 2
15698,15,comuna 3
35153,12,comuna 15
13641,37,comuna 12
10943,15,comuna 3
33702,12,comuna 11
18701,25,comuna 2
20712,37,comuna 12
11047,87,comuna 5
37005,67,comuna 16
36632,27,comuna 12
17203,41,comuna 9
20887,32,comuna 12
37442,84,comuna 7
22002,85,comuna 6
1235,50,comuna 11
34179,38,comuna 8
48956,36,comuna 14
9687,25,comuna 11
40231,40,comuna 10
13667,32,comuna 10
4293,80,comuna 16
5238,47,comuna 11
46322,57,comuna 3
37270,54,comuna 7
13177,85,comuna 11
33383,14,comuna 6
12405,36,comuna 1
18850,30,comuna 11
12713,70,comuna 10
43671,59,comuna 4
49017,89,comuna 9
18115,25,comuna 11
48502,53,comuna 10
17924,29,comuna 8
47523,80,comuna 2
1270,16,comuna 2
9449,44,comuna 1
919,90,comuna 16
13653,63,comuna 9
47838,72,comuna 15
6780,32,comuna 5
41129,47,comuna 4
24786,86,comuna 1
40682,42,comuna 3
1990,13,comuna 9
34016,49,comuna 1
1143,10,comuna 9
37516,15,comuna 9
49238,38,comuna 13
31616,87,comuna 3
28245,87,comuna 14
12078,53,comuna 5
29797,26,comuna 13
12217,51,comuna 8
49383,32,comuna 10
18091,82,comuna 8
21091,62,comuna 15
30529,81,comuna 11
4989,63,comuna 14
24409,66,comuna 12
37053,25,comuna 7
2143,57,comuna 3
8015,90,comuna 12
8302,90,comuna 14
24310,20,comuna 6
2081,77,comuna 4
22212,27,comuna 10
1068,65,comuna 5
45734,25,comuna 2
23997,10,comuna 14
6017,29,comuna 8
2511,86,comuna 6
16883,38,comuna 14
40951,76,comuna 3
37617,50,comuna 7
28466,26,comuna 7
29512,64,comuna 11
20101,80,comuna 8
13475,24,comuna 11
8943,28,comuna 2
22873,22,comuna 3
10863,61,comuna 1
40759,39,comuna 16
23855,57,comuna 13
8143,74,comuna 5
34185,37,comuna 5
44646,32,comuna 15
8993,29,comuna 8
30992,37,comuna 11
44045,70,comuna 8
21052,64,comuna 9
31025,78,comuna 2
5512,31,comuna 5
4967,88,comuna 16
34486,54,comuna 6
100,54,comuna 7
34672,43,comuna 11
36424,51,comuna 11
45982,79,comuna 7
28328,24,comuna 2
42770,55,comuna 12
682,46,comuna 1
31559,78,comuna 2
28321,89,comuna 15
34195,87,comuna 15
