comuna,ica,fecha,id
comuna 16,37,2024-06-23,21002
comuna 14,61,2024-07-31,49767
comuna 1,89,2024-07-31,27365
comuna 10,24,2024-06-25,24248
comuna 16,27,2024-07-31,15697
comuna 10,61,2024-06-23,2156
comuna 12,41,2024-06-23,12218
comuna 6,18,2024-06-23,34641
comuna 2,31,2024-01-30,47933
comuna 6,23,2024-06-25,10283
comuna 3,34,2024-06-23,49341
comuna 12,38,2024-06-25,9065
comuna 10,22,2024-06-25,36698
comuna 13,48,2024-06-25,19738
comuna 9,51,2024-07-31,25722
comuna 4,64,2024-07-31,2428
comuna 13,73,2024-06-25,32198
comuna 16,46,2024-01-30,598
comuna 9,65,2024-07-31,12105
comuna 15,66,2024-01-30,1048
comuna 11,24,2024-06-23,10966
comuna 6,87,2024-06-25,6493
comuna 15,91,2024-06-23,34622
comuna 8,10,2024-07-31,13313
comuna 5,97,2024-01-30,27333
comuna 14,26,2024-06-25,34474
comuna 2,74,2024-01-30,20562
comuna 8,12,2024-06-23,10829
comuna 2,66,2024-01-30,32216
comuna 5,30,2024-06-25,6805
comuna 1,79,2024-06-23,22658
comuna 10,55,2024-06-25,12813
comuna 13,39,2024-06-23,1679
comuna 12,43,2024-06-25,39896
comuna 15,96,2024-06-25,27403
comuna 11,94,2024-06-23,31987
comuna 7,92,2024-06-25,20827
comuna 16,18,2024-01-30,3851
comuna 5,55,2024-06-23,7346
comuna 15,77,2024-06-25,5477
comuna 14,67,2024-01-30,682
comuna 15,24,2024-06-23,25990
comuna 14,56,2024-06-25,33074
comuna 3,54,2024-01-30,41642
comuna 8,94,2024-06-25,34546
comuna 7,24,2024-07-31,14104
comuna 10,40,2024-01-30,29321
comuna 2,41,2024-07-31,37224
comuna 4,19,2024-06-25,7403
comuna 14,95,2024-01-30,25828
comuna 11,67,2024-06-23,43357
comuna 1,36,2024-06-23,27186
comuna 14,75,2024-01-30,49416
comuna 1,10,2024-07-31,49228
comuna 4,11,2024-07-31,28470
comuna 7,26,2024-06-23,28841
comuna 1,56,2024-06-23,45698
comuna 11,16,2024-07-31,21954
comuna 12,17,2024-07-31,1108
comuna 2,37,2024-06-23,24023
comuna 10,34,2024-06-25,48318
comuna 6,57,2024-07-31,36101
comuna 12,92,2024-07-31,30
comuna 14,45,2024-01-30,19864
comuna 7,69,2024-06-25,42327
comuna 11,13,2024-07-31,42689
comuna 15,33,2024-06-23,31336
comuna 10,51,2024-06-25,40375
comuna 8,38,2024-07-31,38530
comuna 1,85,2024-06-23,13943
comuna 4,43,2024-07-31,42570
comuna 2,78,2024-06-25,15932
comuna 10,89,2024-06-23,6941
comuna 8,70,2024-07-31,36804
comuna 13,43,2024-06-23,28302
comuna 11,49,2024-01-30,17160
comuna 15,24,2024-06-25,38219
comuna 10,38,2024-07-31,4158
comuna 12,34,2024-01-30,44294
comuna 3,79,2024-07-31,30871
comuna 8,83,2024-07-31,30526
comuna 5,79,2024-07-31,30568
comuna 15,39,2024-06-25,26036
comuna 8,61,2024-06-23,43075
comuna 4,21,2024-06-25,32024
comuna 3,28,2024-01-30,48316
comuna 2,17,2024-06-23,2845
comuna 3,66,2024-06-23,45339
comuna 10,14,2024-06-23,5754
comuna 6,37,2024-06-23,24168
comuna 15,76,2024-07-31,27558
comuna 1,96,2024-06-25,1549
comuna 9,91,2024-07-31,25961
comuna 7,62,2024-07-31,27241
comuna 4,94,2024-07-31,30826
comuna 2,14,2024-06-25,17921
comuna 12,63,2024-06-23,23958
comuna 3,42,2024-07-31,10760
comuna 7,60,2024-06-23,19321
comuna 12,28,2024-06-23,29732
comuna 3,100,2024-06-23,17680
comuna 8,28,2024-06-23,36455
comuna 3,22,2024-01-30,47243
comuna 10,93,2024-01-30,22246
comuna 9,99,2024-07-31,39664
comuna 10,11,2024-01-30,34841
comuna 15,53,2024-06-23,48285
comuna 14,72,2024-06-25,48141
comuna 8,91,2024-07-31,29806
comuna 5,47,2024-01-30,29089
comuna 16,99,2024-06-23,42591
comuna 5,29,2024-07-31,30740
comuna 5,33,2024-07-31,43961
comuna 12,85,2024-07-31,41873
comuna 13,64,2024-01-30,36865
comuna 6,33,2024-01-30,12450
comuna 13,19,2024-06-23,42323
comuna 5,81,2024-07-31,25647
comuna 15,16,2024-06-23,38337
comuna 10,69,2024-06-23,4792
comuna 14,100,2024-06-23,38838
comuna 8,65,2024-06-23,5064
comuna 2,19,2024-01-30,6320
comuna 13,31,2024-06-23,37842
comuna 7,84,2024-01-30,26599
comuna 5,10,2024-01-30,14496
comuna 3,37,2024-06-25,8030
comuna 15,96,2024-06-23,35688
comuna 1,25,2024-07-31,38036
comuna 10,28,2024-01-30,15369
comuna 10,76,2024-07-31,26375
comuna 8,37,2024-06-25,2706
comuna 7,82,2024-01-30,43168
comuna 16,37,2024-01-30,10256
comuna 10,58,2024-06-25,48951
comuna 9,10,2024-06-23,33650
comuna 16,82,2024-07-31,37769
comuna 13,11,2024-06-23,17903
comuna 3,65,2024-01-30,22016
comuna 12,91,2024-01-30,35869
comuna 10,60,2024-01-30,36551
